,dates,titles,tag,descriptions
0,"February 20, 2021",ICE removes WWII Nazi concentration camp guard to Germany,|Human Rights Violators,"Friedrich Karl Berger, a German citizen, participated in Nazi-sponsored persecution while serving in 1945 as an armed guard of concentration camp prisoners in the Neuengamme Concentration Camp system (Neuengamme). He was ordered removed from the United States in February 2020."
1,"February 19, 2021","HSI Pacific Northwest investigation, CBP seizure result in transfer of 51 ancient coins to University of Washington for historical research","|Cultural Property, Art and Antiquities Investigations","A Homeland Security Investigations (HSI) probe and Customs and Border Protection seizure resulted in the transfer of 51 Greek Hellenistic and early Islamic coins to the University of Washington Libraries in a ceremony hosted on the UW campus, Thursday."
2,"February 18, 2021",ICE announces temporary guidelines for its enforcement and removal operations,|Enforcement and Removal,"ICE’s interim guidance will focus the agency’s civil immigration enforcement and removal resources on threats to national security, border security and public safety. The guidance defines which cases are presumed to present such threats and do not require prior approval. "
3,"February 17, 2021","DHS prevents millions of counterfeit N95 masks from reaching hospital workers, first responders",|COVID-19,"Homeland Security Investigations (HSI) federal agents have seized approximately 10 million counterfeit 3M N95 respirator masks in recent weeks, the result of ongoing collaboration between the U.S. Department of Homeland Security (DHS) and manufacturer 3M to prevent counterfeit masks from reaching hospital workers and first responders."
4,"February 17, 2021",HSI partners with NCA to identify 'SIM swapping' attack on US celebrities,|Cyber Crimes,"The NCA-led investigation into these attacks identified numerous victims, including well-known influencers, sports stars, musicians and their families. On Feb. 9, eight suspected members of the criminal group aged 18-26 were arrested in England and Scotland."
5,"February 16, 2021",Goodyear man sentenced to 20 years in prison for sexual exploitation of minor following HSI investigation,|Child Exploitation,"Jesse Anthony Garcia, 30, of Goodyear, had previously admitted to recording a video in which a minor victim was engaged in exploitive exhibition or other sexual conduct, and attempting to record a video in which a minor victim was engaged in exploitive exhibition or other sexual conduct in 2016. Garcia pleaded guilty to one count of Sexual Exploitation of a Minor, and one count of Attempted Sexual Exploitation of a Minor."
6,"February 12, 2021",ICE HSI Portland arrests ex-camp instructor for child exploitation material,|Child Exploitation,HSI Portland executed a search warrant at Alexander Wiese’s residence in Portland and arrested the former camp instructor Wednesday for receiving child pornography and accessing it with intent to view child pornography.
7,"February 12, 2021",3 Baltimore-area men facing federal charges for fraud scheme purporting to sell COVID-19 vaccines,|COVID-19,"The criminal complaint was filed on February 9, 2021 and was unsealed today upon the defendants’ arrests. Charged in the criminal complaint are: Olakitan Oluwalade (“Olaki”), age 22, of Windsor Mill, Maryland; Olaki’s cousin, Odunayo Baba Oluwalade (“Baba”), age 25, of Windsor Mill; and Kelly Lamont Williams, age 22, of Owings Mills, Maryland."
8,"February 11, 2021","ICE renews, expands fugitive information sharing agreement with Guatemala",|Operational,"ICE Enforcement and Removal Operations (ERO) Assistant Director for Enforcement, Chris Cronen, took part in the ceremonial signing of the Criminal History Information Sharing (CHIS) Addendum Memorandum of Cooperation with the Guatemalan Minister of the Interior Gendri Rocael Reyes Mazariegos. 
"
9,"February 10, 2021","ICE HSI El Paso, CBP seize more than $100,000 in counterfeit NFL, other sports-related merchandise",|Intellectual Property Rights and Commercial Fraud,"HSI special agents and CBP officers conducted joint enforcement operations from Jan. 22 through Feb. 5 and seized counterfeit merchandise in various locations in El Paso County, including an Eastside parking lot, a Lower Valley business, and a Horizon City residence."
10,"February 9, 2021",ICE HSI-led investigation results in South Texas grand jury indicting Houston man for smuggling 119 undocumented immigrants,|Human Smuggling/Trafficking,"On Feb. 9, a Laredo grand jury returned an indictment against Brodrick Keith Rhodes, 32, from Houston, charging him with conspiracy to transport undocumented immigrants. Rhodes is expected to appear before a U.S. magistrate judge in the near future."
11,"February 9, 2021",ICE recognizes International Day of Zero Tolerance for Female Genital Mutilation,|Human Rights Violators,"Partners of the Human Rights Violators and War Crimes Center (HRVWCC) including U.S. Immigration and Customs Enforcement, the Federal Bureau of Investigation, and the Human Rights and Special Prosecutions Section (HRSP) of the Justice Department’s Criminal Division join foreign government partners, non-governmental organizations and local communities to call for the eradication of the practice."
12,"February 8, 2021",Bahamian man in ICE custody passes away in Michigan,|Detainee Death Notifications,"A 58-year-old Bahamian national in the custody of U.S. Immigration and Customs Enforcement (ICE) passed away, Feb. 5, at the Calhoun County Jail in Battle Creek, Michigan. The preliminary cause of death was reported by emergency medical officials to be caused by a medical emergency."
13,"February 8, 2021","Orange County man sentenced to 10 years in federal prison for brokering  illegal sales of 'ghost guns,' other firearms","|Firearms, Ammunition and Explosives","Pedro Javier Villalobos, 24, of Santa Ana, was sentenced by U.S. District Judge David O. Carter. Villalobos pleaded guilty in October 2020 to one count of distributing methamphetamine and one count of engaging in the business of dealing in firearms without a license."
14,"February 4, 2021",ICE probe leads to 15 years in prison for ex-lawyer who executed multimillion-dollar fraud where clients were victimized by forged judges’ signatures,|Professional Responsibility,"Shant Ohanian, 38, of Burbank, was sentenced by U.S. District Judge John A. Kronstadt, who stated that he intends at a future date to order Ohanian to pay restitution in an amount exceeding $2.5 million. Ohanian pleaded guilty in June 2019 to one count of wire fraud and has been in federal custody since the following month, when his bond was revoked because of allegations that he was continuing to defraud his clients."
15,"February 3, 2021","ICE HSI, NFL partner to prevent fake sports-related merchandise from  reaching fans ahead of big game",|Intellectual Property Rights and Commercial Fraud,"HSI announced Wednesday, the seizure of more than 169,000 counterfeit sports-related items over the past year, worth an estimated $45 million. This announcement was made during a joint press conference in Tampa with the National Football League (NFL), U.S. Customs and Border Protection (CBP) and the Tampa Police Department (TPD)."
16,"February 3, 2021",Complaint seeks forfeiture of Iranian oil aboard tanker based on connection to terror group,|Counter Proliferation Investigation Unit,"The complaint alleges a scheme involving multiple entities affiliated with Iran’s Islamic Revolutionary Guard Corps (IRGC) and the IRGC-Qods Force (IRGC-QF) to covertly ship Iranian oil to a customer abroad. Participants in the scheme attempted to disguise the origin of the oil using ship-to-ship transfers, falsified documents and other means, and provided a fraudulent bill of lading to deceive the owners of the Achilleas into loading the oil in question."
17,"February 3, 2021","Receiving, distributing child pornography sends Montana man to prison",|Child Exploitation,"Derek Wallace Johnson, 41, pleaded guilty Sept. 23, 2020 to the distribution of child pornography and receipt of child pornography."
